file_name,type,description
30-day-build-plan-excel.csv,CSV,Excel-ready dataset
ai-receptionist-14-day-implementation-plan-excel.csv,CSV,Excel-ready dataset
businesses-for-sale-review-queue.csv,CSV,Excel-ready dataset
campaign-email-templates.csv,CSV,Excel-ready dataset
list-1-acquisition-buybox.csv,CSV,Excel-ready dataset
list-2-tax-strategy-prospects.csv,CSV,Excel-ready dataset
tax-bookkeeping-campaign-lead-template.csv,CSV,Excel-ready dataset
ultra-tax-and-gofileroom-automation-excel.csv,CSV,Excel-ready dataset
week1-checklists-email-ready-excel.csv,CSV,Excel-ready dataset
week1-checklists-excel.csv,CSV,Excel-ready dataset
